
"Tally by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x02","0x03","0x04","0x05","0x0D","0x0F","0x14","0x19","0x1E","0x22","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5D","0x5E","0x5F","0x60","0x61","0x62","0x63","0x64","0x66","0x68","0x6B","0x6C","0x75","0x76","0x7A","0x7C","0x7E","0x7F","0x87","0x93","0x94","0x9C","0x9F","0xA0","0xC0","0xC1","0xC3","0xC4","0xC5"
"","","Opcode >","PUSH0","PUSHBYTES1","2","3","4","5","13","15","20","25","30","34","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH13","PUSH14","PUSH15","PUSH16","NOP","JMP","JMPIF","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","DROP","DUP","ROLL","SWAP","CAT","SUBSTR","EQUAL","ADD","SUB","NUMEQUAL","LT","GT","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001"
"C:\NeoDeveloping\SmartTransit\TicketManager\Contract1.cs","0","// No source code available","22","1","1","1","1","1","1","3","4","1","1","1","20","47","10","9","6","2","2","2","3","6","1","2","2","2","1","53","6","2","10","3","23","75","75","3","86","29","1","1","1","2","2","1","4","2","1","5","1","45","43","11"
"","","Tally by Opcode>","22","1","1","1","1","1","1","3","4","1","1","1","20","47","10","9","6","2","2","2","3","6","1","2","2","2","1","53","6","2","10","3","23","75","75","3","86","29","1","1","1","2","2","1","4","2","1","5","1","45","43","11"
"","","Total Tally>","638"

"Costs by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x02","0x03","0x04","0x05","0x0D","0x0F","0x14","0x19","0x1E","0x22","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5D","0x5E","0x5F","0x60","0x61","0x62","0x63","0x64","0x66","0x68","0x6B","0x6C","0x75","0x76","0x7A","0x7C","0x7E","0x7F","0x87","0x93","0x94","0x9C","0x9F","0xA0","0xC0","0xC1","0xC3","0xC4","0xC5"
"","","Opcode >","PUSH0","PUSHBYTES1","2","3","4","5","13","15","20","25","30","34","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH13","PUSH14","PUSH15","PUSH16","NOP","JMP","JMPIF","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","DROP","DUP","ROLL","SWAP","CAT","SUBSTR","EQUAL","ADD","SUB","NUMEQUAL","LT","GT","ARRAYSIZE","PACK","PICKITEM","SETITEM","NEWARRAY"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001"
"C:\NeoDeveloping\SmartTransit\TicketManager\Contract1.cs","0","// No source code available","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,006","0,002","0,01","0,003","0,023","0,075","0,075","0,003","0,086","0,029","0","0","0","0,002","0,002","0","0,004","0,002","0","0,005","0","0,045","0,043","0,011"
"","","Costs by Opcode>","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,006","0,002","0,01","0,003","0,023","0,075","0,075","0,003","0,086","0,029","0","0","0","0,002","0,002","0","0,004","0,002","0","0,005","0","0,045","0,043","0,011"
"","","Total Cost>","0,426"
